id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,pengeluaran_per_kapita,satuan,tahun
108,32,JAWA BARAT,3203,KABUPATEN CIANJUR,6733.26,RIBU RUPIAH,2014
109,32,JAWA BARAT,3204,KABUPATEN BANDUNG,8998.57,RIBU RUPIAH,2014
110,32,JAWA BARAT,3205,KABUPATEN GARUT,6372.25,RIBU RUPIAH,2014
111,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,6830.12,RIBU RUPIAH,2014
112,32,JAWA BARAT,3207,KABUPATEN CIAMIS,8162.14,RIBU RUPIAH,2014
113,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,8393.44,RIBU RUPIAH,2014
114,32,JAWA BARAT,3209,KABUPATEN CIREBON,9013.49,RIBU RUPIAH,2014
115,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,8233.45,RIBU RUPIAH,2014
116,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,8844.21,RIBU RUPIAH,2014
117,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,8667.53,RIBU RUPIAH,2014
118,32,JAWA BARAT,3213,KABUPATEN SUBANG,9286.59,RIBU RUPIAH,2014
119,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,10520.92,RIBU RUPIAH,2014
120,32,JAWA BARAT,3215,KABUPATEN KARAWANG,9768.31,RIBU RUPIAH,2014
121,32,JAWA BARAT,3216,KABUPATEN BEKASI,10231.7,RIBU RUPIAH,2014
122,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,7188.04,RIBU RUPIAH,2014
123,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,8232.28,RIBU RUPIAH,2014
124,32,JAWA BARAT,3271,KOTA BOGOR,10532.34,RIBU RUPIAH,2014
125,32,JAWA BARAT,3272,KOTA SUKABUMI,9640.77,RIBU RUPIAH,2014
126,32,JAWA BARAT,3273,KOTA BANDUNG,15048.47,RIBU RUPIAH,2014
127,32,JAWA BARAT,3274,KOTA CIREBON,10606.46,RIBU RUPIAH,2014
128,32,JAWA BARAT,3275,KOTA BEKASI,14558.24,RIBU RUPIAH,2014
129,32,JAWA BARAT,3276,KOTA DEPOK,14238.65,RIBU RUPIAH,2014
130,32,JAWA BARAT,3277,KOTA CIMAHI,10680.87,RIBU RUPIAH,2014
131,32,JAWA BARAT,3278,KOTA TASIKMALAYA,8210.43,RIBU RUPIAH,2014
132,32,JAWA BARAT,3279,KOTA BANJAR,9438.54,RIBU RUPIAH,2014
133,32,JAWA BARAT,3201,KABUPATEN BOGOR,9368.39,RIBU RUPIAH,2015
134,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,7848.53,RIBU RUPIAH,2015
135,32,JAWA BARAT,3203,KABUPATEN CIANJUR,6876.62,RIBU RUPIAH,2015
136,32,JAWA BARAT,3204,KABUPATEN BANDUNG,9375.21,RIBU RUPIAH,2015
137,32,JAWA BARAT,3205,KABUPATEN GARUT,6875.09,RIBU RUPIAH,2015
138,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,6934.28,RIBU RUPIAH,2015
139,32,JAWA BARAT,3207,KABUPATEN CIAMIS,8295.76,RIBU RUPIAH,2015
140,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,8516.1,RIBU RUPIAH,2015
141,32,JAWA BARAT,3209,KABUPATEN CIREBON,9261.3,RIBU RUPIAH,2015
142,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,8477.14,RIBU RUPIAH,2015
143,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,9279.32,RIBU RUPIAH,2015
144,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,8768.97,RIBU RUPIAH,2015
145,32,JAWA BARAT,3213,KABUPATEN SUBANG,9830.96,RIBU RUPIAH,2015
146,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,10549.58,RIBU RUPIAH,2015
147,32,JAWA BARAT,3215,KABUPATEN KARAWANG,10216.85,RIBU RUPIAH,2015
148,32,JAWA BARAT,3216,KABUPATEN BEKASI,10322.5,RIBU RUPIAH,2015
149,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,7522.14,RIBU RUPIAH,2015
150,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,8265.02,RIBU RUPIAH,2015
151,32,JAWA BARAT,3271,KOTA BOGOR,10576.37,RIBU RUPIAH,2015
152,32,JAWA BARAT,3272,KOTA SUKABUMI,9729.44,RIBU RUPIAH,2015
153,32,JAWA BARAT,3273,KOTA BANDUNG,15608.85,RIBU RUPIAH,2015
154,32,JAWA BARAT,3274,KOTA CIREBON,10732.45,RIBU RUPIAH,2015
155,32,JAWA BARAT,3275,KOTA BEKASI,15115.83,RIBU RUPIAH,2015
156,32,JAWA BARAT,3276,KOTA DEPOK,14424.49,RIBU RUPIAH,2015
157,32,JAWA BARAT,3277,KOTA CIMAHI,11011.88,RIBU RUPIAH,2015
158,32,JAWA BARAT,3278,KOTA TASIKMALAYA,8784.81,RIBU RUPIAH,2015
159,32,JAWA BARAT,3279,KOTA BANJAR,9475.6,RIBU RUPIAH,2015
160,32,JAWA BARAT,3201,KABUPATEN BOGOR,9537.0,RIBU RUPIAH,2016
161,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,8077.0,RIBU RUPIAH,2016
162,32,JAWA BARAT,3203,KABUPATEN CIANJUR,7074.0,RIBU RUPIAH,2016
163,32,JAWA BARAT,3204,KABUPATEN BANDUNG,9580.0,RIBU RUPIAH,2016
164,32,JAWA BARAT,3205,KABUPATEN GARUT,7079.0,RIBU RUPIAH,2016
165,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,7081.0,RIBU RUPIAH,2016
166,32,JAWA BARAT,3207,KABUPATEN CIAMIS,8432.0,RIBU RUPIAH,2016
167,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,8580.0,RIBU RUPIAH,2016
168,32,JAWA BARAT,3209,KABUPATEN CIREBON,9463.0,RIBU RUPIAH,2016
169,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,8594.0,RIBU RUPIAH,2016
170,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,9339.0,RIBU RUPIAH,2016
171,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,8866.0,RIBU RUPIAH,2016
172,32,JAWA BARAT,3213,KABUPATEN SUBANG,10012.0,RIBU RUPIAH,2016
173,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,10732.0,RIBU RUPIAH,2016
174,32,JAWA BARAT,3215,KABUPATEN KARAWANG,10379.0,RIBU RUPIAH,2016
175,32,JAWA BARAT,3216,KABUPATEN BEKASI,10435.0,RIBU RUPIAH,2016
176,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,7698.0,RIBU RUPIAH,2016
177,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,8312.0,RIBU RUPIAH,2016
178,32,JAWA BARAT,3271,KOTA BOGOR,10662.0,RIBU RUPIAH,2016
179,32,JAWA BARAT,3272,KOTA SUKABUMI,9819.0,RIBU RUPIAH,2016
180,32,JAWA BARAT,3273,KOTA BANDUNG,15805.0,RIBU RUPIAH,2016
181,32,JAWA BARAT,3274,KOTA CIREBON,10824.0,RIBU RUPIAH,2016
182,32,JAWA BARAT,3275,KOTA BEKASI,15236.0,RIBU RUPIAH,2016
183,32,JAWA BARAT,3276,KOTA DEPOK,14560.0,RIBU RUPIAH,2016
184,32,JAWA BARAT,3277,KOTA CIMAHI,11141.0,RIBU RUPIAH,2016
185,32,JAWA BARAT,3278,KOTA TASIKMALAYA,9145.0,RIBU RUPIAH,2016
186,32,JAWA BARAT,3279,KOTA BANJAR,9815.0,RIBU RUPIAH,2016
187,32,JAWA BARAT,3201,KABUPATEN BOGOR,9901.0,RIBU RUPIAH,2017
188,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,8263.0,RIBU RUPIAH,2017
189,32,JAWA BARAT,3203,KABUPATEN CIANJUR,7300.0,RIBU RUPIAH,2017
190,32,JAWA BARAT,3204,KABUPATEN BANDUNG,9854.0,RIBU RUPIAH,2017
191,32,JAWA BARAT,3205,KABUPATEN GARUT,7270.0,RIBU RUPIAH,2017
192,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,7250.0,RIBU RUPIAH,2017
193,32,JAWA BARAT,3207,KABUPATEN CIAMIS,8658.0,RIBU RUPIAH,2017
194,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,8736.0,RIBU RUPIAH,2017
195,32,JAWA BARAT,3209,KABUPATEN CIREBON,9650.0,RIBU RUPIAH,2017
196,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,8833.0,RIBU RUPIAH,2017
