id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_penduduk_miskin,satuan,tahun
162,32,JAWA BARAT,3279,KOTA BANJAR,12.9,RIBU JIWA,2007
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,491.4,RIBU JIWA,2008
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,296.4,RIBU JIWA,2008
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,334.3,RIBU JIWA,2008
166,32,JAWA BARAT,3204,KABUPATEN BANDUNG,267.1,RIBU JIWA,2008
167,32,JAWA BARAT,3205,KABUPATEN GARUT,410.6,RIBU JIWA,2008
168,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,250.2,RIBU JIWA,2008
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,190.5,RIBU JIWA,2008
170,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,182.0,RIBU JIWA,2008
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,429.7,RIBU JIWA,2008
172,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,225.7,RIBU JIWA,2008
173,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,159.7,RIBU JIWA,2008
174,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,347.0,RIBU JIWA,2008
175,32,JAWA BARAT,3213,KABUPATEN SUBANG,215.0,RIBU JIWA,2008
176,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,92.5,RIBU JIWA,2008
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,283.4,RIBU JIWA,2008
178,32,JAWA BARAT,3216,KABUPATEN BEKASI,130.4,RIBU JIWA,2008
179,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,251.7,RIBU JIWA,2008
180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0.0,RIBU JIWA,2008
181,32,JAWA BARAT,3271,KOTA BOGOR,97.7,RIBU JIWA,2008
182,32,JAWA BARAT,3272,KOTA SUKABUMI,33.6,RIBU JIWA,2008
183,32,JAWA BARAT,3273,KOTA BANDUNG,106.8,RIBU JIWA,2008
184,32,JAWA BARAT,3274,KOTA CIREBON,47.4,RIBU JIWA,2008
185,32,JAWA BARAT,3275,KOTA BEKASI,142.3,RIBU JIWA,2008
186,32,JAWA BARAT,3276,KOTA DEPOK,41.7,RIBU JIWA,2008
187,32,JAWA BARAT,3277,KOTA CIMAHI,52.3,RIBU JIWA,2008
188,32,JAWA BARAT,3278,KOTA TASIKMALAYA,154.5,RIBU JIWA,2008
189,32,JAWA BARAT,3279,KOTA BANJAR,15.7,RIBU JIWA,2008
190,32,JAWA BARAT,3201,KABUPATEN BOGOR,446.0,RIBU JIWA,2009
191,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,265.5,RIBU JIWA,2009
192,32,JAWA BARAT,3203,KABUPATEN CIANJUR,311.1,RIBU JIWA,2009
193,32,JAWA BARAT,3204,KABUPATEN BANDUNG,238.8,RIBU JIWA,2009
194,32,JAWA BARAT,3205,KABUPATEN GARUT,365.4,RIBU JIWA,2009
195,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,233.2,RIBU JIWA,2009
196,32,JAWA BARAT,3207,KABUPATEN CIAMIS,174.5,RIBU JIWA,2009
197,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,174.8,RIBU JIWA,2009
198,32,JAWA BARAT,3209,KABUPATEN CIREBON,390.5,RIBU JIWA,2009
199,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,207.2,RIBU JIWA,2009
200,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,145.3,RIBU JIWA,2009
201,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,319.5,RIBU JIWA,2009
202,32,JAWA BARAT,3213,KABUPATEN SUBANG,201.8,RIBU JIWA,2009
203,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,84.7,RIBU JIWA,2009
204,32,JAWA BARAT,3215,KABUPATEN KARAWANG,264.8,RIBU JIWA,2009
205,32,JAWA BARAT,3216,KABUPATEN BEKASI,136.7,RIBU JIWA,2009
206,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,232.7,RIBU JIWA,2009
207,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0.0,RIBU JIWA,2009
208,32,JAWA BARAT,3271,KOTA BOGOR,91.7,RIBU JIWA,2009
209,32,JAWA BARAT,3272,KOTA SUKABUMI,30.4,RIBU JIWA,2009
210,32,JAWA BARAT,3273,KOTA BANDUNG,110.3,RIBU JIWA,2009
211,32,JAWA BARAT,3274,KOTA CIREBON,45.0,RIBU JIWA,2009
212,32,JAWA BARAT,3275,KOTA BEKASI,134.2,RIBU JIWA,2009
213,32,JAWA BARAT,3276,KOTA DEPOK,47.1,RIBU JIWA,2009
214,32,JAWA BARAT,3277,KOTA CIMAHI,46.4,RIBU JIWA,2009
215,32,JAWA BARAT,3278,KOTA TASIKMALAYA,140.1,RIBU JIWA,2009
216,32,JAWA BARAT,3279,KOTA BANJAR,14.6,RIBU JIWA,2009
217,32,JAWA BARAT,3201,KABUPATEN BOGOR,477.2,RIBU JIWA,2010
218,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,249.6,RIBU JIWA,2010
219,32,JAWA BARAT,3203,KABUPATEN CIANJUR,311.0,RIBU JIWA,2010
220,32,JAWA BARAT,3204,KABUPATEN BANDUNG,296.3,RIBU JIWA,2010
